[Time (s), Force (N)]
['0.00', '25.70']
['0.05', '44.62']
['0.10', '68.59']
['0.15', '86.08']
['0.20', '94.23']
['0.26', '102.97']
['0.31', '104.37']
['0.36', '100.68']
['0.41', '96.74']
['0.46', '94.64']
['0.51', '89.46']
['0.56', '83.22']
['0.61', '79.48']
['0.67', '76.88']
['0.72', '74.40']
['0.77', '73.49']
['0.82', '80.81']
['0.87', '82.52']
['0.92', '83.92']
['0.97', '89.46']
['1.02', '91.01']
['1.08', '93.82']
['1.13', '93.41']
['1.18', '91.41']
['1.23', '90.23']
['1.28', '93.01']
['1.33', '94.64']
['1.38', '93.41']
['1.43', '92.60']
['1.49', '91.80']
['1.54', '91.41']
['1.59', '92.20']
['1.64', '91.80']
['1.69', '90.23']
['1.74', '89.46']
['1.79', '89.84']
['1.84', '92.20']
['1.90', '92.60']
['1.95', '92.60']
['2.00', '91.80']
['2.05', '91.41']
['2.10', '91.80']
['2.15', '91.80']
['2.20', '91.41']
['2.25', '89.84']
['2.31', '90.23']
['2.36', '90.62']
['2.41', '92.20']
['2.46', '93.01']
['2.51', '93.01']
['2.56', '93.82']
['2.61', '95.06']
['2.66', '95.06']
['2.71', '98.03']
['2.77', '97.60']
['2.82', '98.47']
['2.87', '95.90']
['2.92', '98.03']
['2.97', '98.91']
['3.02', '98.91']
['3.07', '98.47']
['3.12', '98.47']
['3.18', '102.05']
['3.23', '104.84']
['3.28', '104.37']
['3.33', '101.59']
['3.38', '90.62']
['3.43', '47.51']
['3.48', '13.81']
['0', '0']
